search_query_original,rawg_id,name,slug,background_image,released,rating
Zelda,26824,The Legend of Zelda: Skyward Sword,the-legend-of-zelda-skyward-sword,https://media.rawg.io/media/games/884/884d12f527a9a12b5e486ee1b79ecf7f.jpeg,2011-11-20,4.14
Zelda,466577,Zelda's Adventure,zeldas-adventure,https://media.rawg.io/media/games/856/85636bf9dd34778beb20adb5ba651017.jpg,2020-07-12,0.0
Zelda,713367,Zelda- Ticking Pressure,zelda-ticking-pressure,https://media.rawg.io/media/screenshots/39f/39f627ea5f9628e4c0c8bd4e9ef7f741.jpg,2021-12-22,0.0
Zelda,290864,The Legend of Zelda: Four Swords,the-legend-of-zelda-four-swords,https://media.rawg.io/media/screenshots/063/063e24eb22d69c8d4febc5b938a50b57.jpg,2002-12-02,3.89
Zelda,27015,The Legend of Zelda: Twilight Princess,the-legend-of-zelda-twilight-princess,https://media.rawg.io/media/games/dd1/dd167cf8753db3748a975d61cc926e54.jpg,2006-11-19,4.38
Zelda,760646,Zelda Alpha 1.0.0,zelda-alpha-100,https://media.rawg.io/media/screenshots/1d2/1d27f40d98bcde4b50a024a6c8b10bb0.jpg,2022-03-27,0.0
Zelda,323924,Zelda-Like Dungeon,zelda-like-dungeon,https://media.rawg.io/media/screenshots/804/804a68f2ba92c626e26545459b241518.jpg,2019-05-28,0.0
Zelda,104595,Zelda-like FREE,zelda-like-free,https://media.rawg.io/media/screenshots/191/1911742a8e8868dd7b0134f846a461bc.jpg,2014-09-11,0.0
Zelda,25924,The Legend of Zelda: Majora's Mask,the-legend-of-zelda-majoras-mask,https://media.rawg.io/media/games/b3c/b3c209cd49aae8a469a59b79b54dc599.jpg,2000-04-27,4.33
Zelda,23850,The Legend of Zelda: Spirit Tracks,the-legend-of-zelda-spirit-tracks,https://media.rawg.io/media/games/4a1/4a1ed758c53873d6442562f0c772b640.jpeg,2009-12-07,3.91
Zelda,27023,The Legend of Zelda: Phantom Hourglass,the-legend-of-zelda-phantom-hourglass,https://media.rawg.io/media/screenshots/b23/b23b3b0f25b10123c0338cf9f5c8bc12.jpg,2007-10-01,4.04
Zelda,624566,Zelda RPG: Link's Reawakening,zelda-rpg-links-reawakening,https://media.rawg.io/media/screenshots/10a/10a383c77fdcf98d8cbb9ed56cf96b95.jpg,2021-06-20,0.0
Zelda,27256,The Legend of Zelda: Oracle of Ages,the-legend-of-zelda-oracle-of-ages,https://media.rawg.io/media/screenshots/0e0/0e02b3c6aaf4bf6d7a59f8c001bb3fac.jpg,2001-02-27,4.29
Zelda,27418,The Legend of Zelda: The Minish Cap,the-legend-of-zelda-the-minish-cap,https://media.rawg.io/media/games/25d/25d9592abbd02dccd67d83108ae79582.jpg,2004-11-04,4.38
Zelda,983717,The Legend of Zelda: Echoes of Wisdom,the-legend-of-zelda-echoes-of-wisdom,https://media.rawg.io/media/games/ef0/ef095574ebf35dbe30cbb85f3798b4e5.jpg,2024-09-26,4.27
